modelo,accuracy,f1_weighted
Regresion Logistica,0.9789156626506024,0.9788722560849575
SVM (Kernel Lineal),0.9789156626506024,0.9789018738640285
KNN (K-Nearest Neighbors),0.9397590361445783,0.9395214037275433
Arbol de Decision,0.9186746987951807,0.9186215134755382
Random Forest,0.9789156626506024,0.97883989046059
Gradient Boosting,0.9668674698795181,0.9667992595620759
Naive Bayes Multinomial,0.9668674698795181,0.9666931657056608
